timestamp,message
1770946965000,2026-02-13T01:42:45 [VALIDATOR_TARGE ]I:  Disconnecting Oracle database  (oracle_endpoint_conn.c:1994)
1770946965000,2026-02-13T01:42:45 [VALIDATOR_TARGE ]I:  Disconnected Oracle database  (oracle_endpoint_conn.c:2029)
1770946965000,2026-02-13T01:42:45 [VALIDATOR       ]I:  All partition validator threads are terminated  (partition_validator.c:294)
1770946965000,2026-02-13T01:42:45 [VALIDATOR       ]I:  Wait for remove FDV partitions validator jobs  (partition_validator.c:296)
1770946965000,2026-02-13T01:42:45 [VALIDATOR       ]I:  All FDV partitions validator jobs removed  (partition_validator.c:308)
1770946965000,"2026-02-13T01:42:45 [VALIDATOR       ]I:  Stopped partition validators, exiting task validator thread  (task_validator.c:401)"
1770946965000,2026-02-13T01:42:45 [VALIDATOR       ]I:  Thread of 'task_validator' component terminated  (task_validator.c:317)
1770946965000,2026-02-13T01:42:45 [VALIDATOR_TARGE ]I:  Connecting to Oracle: Beginning session  (oracle_endpoint_conn.c:1324)
1770946965000,2026-02-13T01:42:45 [VALIDATOR_TARGE ]I:  Target endpoint 'Oracle' is using provider syntax 'Oracle'  (provider_syntax_manager.c:972)
1770946965000,2026-02-13T01:42:45 [VALIDATOR_TARGE ]I:  Working in transactional apply mode  (endpointshell.c:2212)
1770946965000,2026-02-13T01:42:45 [VALIDATOR       ]I:  No validation cleanup target endpoint step found for target endpoint.  Continuing with cleanup as normal.  (task_validator.c:648)
1770946965000,2026-02-13T01:42:45 [VALIDATOR_TARGE ]I:  Disconnecting Oracle database  (oracle_endpoint_conn.c:1994)
1770946965000,2026-02-13T01:42:45 [VALIDATOR_TARGE ]I:  Disconnected Oracle database  (oracle_endpoint_conn.c:2029)
